;origin;shrub_cov;herb_cov;kryp_cov;litter_cov;open_cov;WHC [%vol];WHC [weigth%];P;pH_H2O;pH_CaCl;con;C_com;N_com;C/N;L;F;R;N;MV;WV;TV;FW
HA87_2_4;Arable field;0;85;5;40;0;59.01;55.52837113;15.67;5.8;4.9;32;20.3;1.6;12.6875;6.746468927;4.987775061;6.441056911;3.663291139;5.376281113;4.199853587;4.050512445;4.505856515
HA87_2_5;Arable field;0;75;15;35;25;23.37;25.16149871;18.6;6.3;4.5;34;22.8;1.75;13.03104575;6.765984655;4.738140417;5.814882033;3.65060241;5.631675875;4.368324125;4.395948435;4.401473297
HG45_2_1;Shrublands;0;60;75;95;5;34.96;27.54274009;21.97;5.9;5;39;11.3;0.85;13.29861111;6.511629323;5.045687162;5.205479452;3.239070372;5.334447189;4.900770013;4.575330524;4.474066541
HG45_2_2;Shrublands;0;60;75;60;5;35.31;22.98528837;16.17;6;4.8;23;5.45;0.3;18.16666667;7.045212645;3.743511807;5.69243129;3.443202274;6.193195713;5.600661728;5.571819032;5.027619938
HG45_2_3;Shrublands;0;75;65;90;5;46.27;38.14823976;11.78;5.7;5.4;54;12.1;0.95;12.73888889;6.996041671;5.164192927;6.077340024;4.228329466;6.221947958;4.869484727;4.970070966;5.354211663
HG45_2_4;Shrublands;0;75;45;80;2;46.95;33.76968999;9.99;6.2;5.5;70;17.25;1.4;12.32142857;7.324636523;5.865950255;7.099179521;4.108130429;6.493916136;4.815331337;5.030419319;5.218270311
HG45_2_5;Shrublands;0;85;10;70;15;46.86;42.70092947;8.1;5.5;5.3;51;17.15;1.2;14.24125874;6.772273174;5.082064572;7.050533148;4.741607078;6.462822595;5.067587078;5.163237683;4.973650966
HG45_3_1;Shrublands;0;45;45;10;60;22.25;15.64587582;22.03;6.4;4.9;14;6.5;0.2;32.5;4.187344913;1.310301508;2.406991261;0.259259259;8.973684211;6.960526316;5.973684211;6.934210526
HG45_3_2;Shrublands;0;45;80;12;20;39.21;25.13461538;8.01;6;4.8;6;4.35;0.2;21.75;7.172574627;1.982109228;3.156840934;2.060362173;6.367021277;6.388297872;5.813829787;4.526595745
HG45_3_3;Shrublands;10;25;98;5;2;33.88;22.08173108;8.77;6.1;4.6;5;2.75;0.01;275;7.417412648;1.610383944;1.594240838;2.283077661;6.304221252;6.755943717;6.328966521;4.731683649
HG45_3_4;Shrublands;5;40;90;5;2;31.58;21.09552438;6.73;5.7;4.5;9;4.15;0.2;20.75;7.567816585;2.591397849;5.56281407;2.081397697;4.348988607;6.88398047;6.825389444;3.220878865
HG45_3_5;Shrublands;0;30;70;10;30;93.6;99.53211399;5.6;6.1;4.3;5;2;0.01;200;7.17604808;2.31434097;2.260960334;1.679027505;6.380429095;6.999476714;6.486656201;4.815279958
HG87_1_1;Shrublands;0;60;20;40;25;29.58;28.40407144;29.86;6.7;5;20;13;0.85;15.30555556;6.965057319;3.418626915;4.218702484;2.558219715;4.97639485;5.650214592;5.660944206;3.860515021
HG87_1_2;Shrublands;0;45;20;30;55;45.59;30.88334914;41.1;6;4.7;34;9.3;0.55;17.01666667;7.725626288;2.930501065;4.108938547;2.479108263;5.20824295;5.041214751;5.041214751;2.472885033
HG87_1_3;Shrublands;0;45;25;45;20;18.46;16.73010694;23.34;5.7;5.1;14;13.15;0.95;13.89444444;7.451079056;3.129989277;5.241440568;2.586700844;4.263079223;6.167974589;6.214686099;2.842488789
HG87_1_4;Shrublands;0;50;30;30;45;34.56;30.04433626;25.8;5.8;5.2;16;13.9;0.75;18.44642857;7.388336125;3.187381563;6.594601445;3.530250411;6.166301969;4.781181619;5.028446389;3.693654267
HG87_1_5;Shrublands;0;50;30;20;25;14.11;13.49851717;22.24;6.1;5.1;15;16.7;1;16.76767677;6.727860054;4.264871427;4.230265278;3.54034558;5.879154079;5.441087613;5.516616314;3.132930514
HG87_2_1;Shrublands;0;80;50;30;15;42.46;40.52300057;14.39;6.1;4.9;36;28.8;2;14.42606516;6.996882943;4.773561301;5.723837209;3.156649807;5.41966759;4.768698061;4.497229917;4.038781163
HG87_2_2;Shrublands;0;40;40;20;20;35.02;33.98680124;8.55;5.6;5;47;23.85;1.55;15.38958333;7.422961828;3.41460865;6.068005276;3.100537527;5.501874665;5.115336547;5.192108552;3.918228888
HG87_2_3;Shrublands;0;60;25;30;20;43.13;69.008;36.76;5.8;4.7;28;29.55;1.9;15.55263158;7.347648262;4.336124257;5.71665734;2.718120805;5.268339768;4.376447876;4.575289575;3.28957529
HG87_2_4;Shrublands;0;25;75;20;20;14.42;13.02149178;12.49;5.7;4.5;16;23.6;1.45;16.24285714;7.490508032;2.725226327;5.191909306;2.521044751;4.87687188;5.394342762;5.394342762;2.936772047
HG87_2_5;Shrublands;0;55;40;25;20;22.65;18.03631151;8.46;6;4;13;11.7;0.7;16.71428571;7.46574562;3.316150949;4.689360566;2.151784769;4.518728717;6.675368899;6.675368899;2.970488082
HW00_1_1;Forest;1;50;1;60;20;20.31;17.43497296;31.93;5.2;4.4;23;24.2;1.05;23.13181818;2.263462652;0.840397485;1.851145812;1.002533619;8.764705882;6.705882353;5.941176471;7
HW00_1_2;Forest;1;40;35;50;10;17.83;17.61509583;35.27;5.3;4.1;32;34.35;2.45;14.03083333;6.287692917;3.636039006;5.106001871;2.874616029;5.791139241;5.474683544;5.348101266;4.202531646
HW00_1_3;Forest;1;55;80;35;5;13.35;12.8390075;30.6;5.9;3.9;29;19.45;1.45;13.40384615;5.851305092;3.966852798;4.441644132;3.334167262;5.574045802;5.028498728;5.029007634;4.6
